"Index","GRanD_ID"
1,6
2,24
3,25
4,27
5,31
6,35
7,37
8,41
9,42
10,44
11,47
12,49
13,51
14,61
15,62
16,64
17,65
18,66
19,68
20,70
21,77
22,80
23,81
24,82
25,85
26,86
27,93
28,103
29,117
30,133
31,149
32,192
33,204
34,214
35,218
36,225
37,249
38,250
39,255
40,256
41,257
42,273
43,283
44,290
45,297
46,305
47,309
48,313
49,315
50,316
51,328
52,332
53,352
54,357
55,363
56,365
57,373
58,380
59,397
60,405
61,408
62,414
63,418
64,423
65,427
66,541
67,545
68,597
69,616
70,681
71,689
72,703
73,704
74,705
75,707
76,710
77,715
78,716
79,717
80,739
81,762
82,830
83,846
84,849
85,855
86,863
87,864
88,865
89,866
90,876
91,880
92,883
93,913
94,920
95,929
96,1029
97,1053
98,1112
99,1116
100,1118
101,1269
102,1283
103,1337
104,1347
105,1379
106,1384
107,1386
108,1387
109,1388
110,1391
111,1393
112,1394
113,1395
114,1396
115,1401
116,1402
117,1403
118,1404
119,1418
120,1419
121,1420
122,1423
123,1424
124,1428
125,1432
126,1436
127,1437
128,1439
129,1441
130,1444
131,1449
132,1455
133,1460
134,1461
135,1462
136,1464
137,1465
138,1466
139,1468
140,1469
141,1470
142,1480
143,1481
144,1484
145,1486
146,1487
147,1489
148,1490
149,1496
150,1499
151,1501
152,1503
153,1507
154,1510
155,1514
156,1515
157,1521
158,1539
159,1545
160,1556
161,1560
162,1646
163,1652
164,1724
165,1748
166,1750
167,1752
168,1756
169,1758
170,1761
171,1762
172,1764
173,1768
174,1786
175,1787
176,1789
177,1790
178,1791
179,1793
180,1798
181,1799
182,1802
183,1804
184,1805
185,1806
186,1807
187,1809
188,1812
189,1814
190,1815
191,1816
192,1817
193,1823
194,1827
195,1834
196,1835
197,1836
198,1837
199,1838
200,1839
201,1840
202,1842
203,1844
204,1851
205,1852
206,1857
207,1860
208,1866
209,1867
210,1870
211,1872
212,1880
213,1883
214,1886
215,1889
216,1894
217,1895
218,1899
219,1900
220,1901
221,1902
222,1903
223,1904
224,1905
225,1906
226,1911
227,1961
228,1963
229,1964
230,1965
231,1967
232,1973
233,1976
234,1982
235,1995
236,1998
237,1999
238,2000
239,2003
240,2005
241,2006
242,2008
243,2009
244,2010
245,2011
246,2012
247,2013
248,2014
249,2015
250,2016
251,2025
252,2032
253,2041
254,2051
255,2087
256,2093
257,2094
258,2100
259,2101
260,2102
261,2108
262,2109
263,2116
264,2118
265,2131
266,2135
267,2141
268,2143
269,2147
270,2149
271,2153
272,2154
273,2157
274,2160
275,2161
276,2167
277,2171
278,2172
279,2205
280,2294
281,2300
282,2331
283,2336
284,2341
285,2342
286,2343
287,2345
288,2346
289,2347
290,2351
291,2355
292,2359
293,2363
294,2365
295,2368
296,2375
297,2376
298,2377
299,2380
300,2381
301,2382
302,2385
303,2387
304,2388
305,2389
306,2390
307,2392
308,2394
309,2395
310,2400
311,2401
312,2402
313,2403
314,2404
315,2405
316,2411
317,2414
318,2416
319,2432
320,2435
321,2437
322,2439
323,2442
324,2445
325,2451
326,2455
327,2456
328,2457
329,2458
330,2490
331,2513
332,2514
333,2516
334,2517
335,2546
336,2549
337,2552
338,2553
339,2554
340,2584
341,2713
342,2714
343,2715
344,2716
345,2717
346,2718
347,2720
348,2723
349,2725
350,2727
351,2728
352,2730
353,2732
354,2733
355,2735
356,2736
357,2737
358,2738
359,2739
360,2742
361,2744
362,2748
363,2773
364,2791
365,2792
366,2800
367,2806
368,2808
369,2809
370,2857
371,2943
372,2945
373,2946
374,2953
375,2955
376,3041
377,3044
378,3045
379,3047
380,3048
381,3086
382,3091
383,3245
384,3258
385,3260
386,3262
387,3263
388,3273
389,3308
390,3317
391,3327
392,3329
393,3333
394,3351
395,3361
396,3365
397,3371
398,3373
399,3379
400,3397
401,3398
402,3401
403,3405
404,3417
405,3418
406,3420
407,3422
408,3423
409,3424
410,3426
411,3429
412,3454
413,3485
414,3566
415,3628
416,3638
417,3640
418,3647
419,3667
420,3669
421,3673
422,3675
423,3677
424,3689
425,3696
426,3697
427,3698
428,3700
429,3702
430,3703
431,3710
432,3736
433,3739
434,3741
435,3742
436,3767
437,3768
438,3770
439,3777
440,3787
441,3798
442,3805
443,3818
444,3824
445,3828
446,3834
447,3835
448,3841
449,3842
450,3853
451,3856
452,3857
453,3858
454,3878
455,3880
456,3884
457,3888
458,3891
459,3898
460,3901
461,3908
462,3909
463,3910
464,3912
465,3916
466,3918
467,3920
468,3927
469,3928
470,3962
471,3967
472,3968
473,3971
474,3975
475,3981
476,3983
477,3984
478,3985
479,3986
480,3988
481,3991
482,3992
483,3993
484,4007
485,4008
486,4009
487,4016
488,4021
489,4022
490,4026
491,4028
492,4029
493,4043
494,4045
495,4046
496,4047
497,4055
498,4056
499,4348
500,4349
501,4352
502,4356
503,4357
504,4358
505,4360
506,4368
507,4369
508,4371
509,4372
510,4373
511,4374
512,4375
513,4376
514,4381
515,4382
516,4383
517,4384
518,4386
519,4407
520,4417
521,4419
522,4422
523,4431
524,4449
525,4485
526,4490
527,4491
528,4492
529,4493
530,4495
531,4496
532,4497
533,4500
534,4501
535,4502
536,4539
537,4623
538,4624
539,4625
540,4626
541,4627
542,4628
543,4629
544,4630
545,4631
546,4632
547,4634
548,4636
549,4637
550,4654
551,4656
552,4657
553,4675
554,4676
555,4686
556,4699
557,4700
558,4701
559,4708
560,4734
561,4759
562,4761
563,4768
564,4780
565,4783
566,4784
567,4785
568,4787
569,4789
570,4802
571,4858
572,4883
573,4991
574,5003
575,5004
576,5016
577,5040
578,5054
579,5055
580,5056
581,5058
582,5100
583,5102
584,5121
585,5125
586,5136
587,5148
588,5151
589,5163
590,5171
591,5172
592,5173
593,5175
594,5180
595,5302
596,5306
597,5410
598,5418
599,5437
600,5795
601,5796
602,5801
603,5804
604,5808
605,5809
606,5834
607,5849
608,5943
609,6194
610,6196
611,6198
612,6364
613,6366
614,6372
615,6477
616,6625
617,6645
618,6682
619,6684
620,6686
621,6687
622,6689
623,6692
624,6694
625,6695
626,6697
627,6769
628,6770
629,6771
630,6772
631,6774
632,6775
633,6776
634,6777
635,6786
636,6791
637,6796
638,6799
639,6801
640,6802
641,6805
642,6813
643,6815
644,6828
645,6834
646,6835
647,6836
648,6837
649,6841
650,6843
651,6860
652,54
653,83
654,94
655,100
656,107
657,118
658,122
659,131
660,132
661,144
662,146
663,168
664,173
665,182
666,253
667,299
668,307
669,329
670,338
671,355
672,370
673,391
674,393
675,394
676,396
677,411
678,413
679,415
680,416
681,421
682,438
683,449
684,451
685,456
686,477
687,494
688,499
689,502
690,542
691,567
692,600
693,605
694,609
695,610
696,612
697,629
698,647
699,652
700,657
701,687
702,688
703,709
704,753
705,870
706,884
707,895
708,898
709,901
710,961
711,1006
712,1023
713,1026
714,1033
715,1036
716,1042
717,1048
718,1060
719,1067
720,1075
721,1077
722,1078
723,1121
724,1125
725,1135
726,1176
727,1247
728,1275
729,1280
730,1302
731,1307
732,1320
733,1380
734,1413
735,1588
736,1597
737,1623
738,1753
739,1754
740,1763
741,1765
742,1767
743,1770
744,1774
745,1775
746,1777
747,1783
748,1797
749,1801
750,1818
751,1822
752,1824
753,1828
754,1829
755,1833
756,1841
757,1847
758,1862
759,1863
760,1896
761,1910
762,1916
763,2169
764,2170
765,2310
766,2312
767,2321
768,2322
769,2329
770,2335
771,2369
772,2391
773,2426
774,2776
775,2939
776,2947
777,2949
778,2952
779,2957
780,2962
781,2963
782,2986
783,3013
784,3380
785,3404
786,3410
787,3414
788,3421
789,3433
790,3450
791,3550
792,3560
793,3570
794,3650
795,3662
796,3743
797,3750
798,3771
799,3781
800,3790
801,3809
802,4048
